,title,subtitle,sub_subtitle,location,company,salary,type,description,date_publish,url_postulacion
0,Desarrollador UX - Lado RH (1° Semestre 2022) 2102 2103,"RH Vision
Córdoba, Córdoba",Tiempo completo,Cordoba,RH Vision,Salario sin especificar,Presencial,"Será valorado
Conocimientos básicos de JS.
Tener ojo crítico para los visuales orientado a ""pixel perfect"".
Habilidades para analizar, sintetizar y triangular datos de diversas fuentes.
Conocimiento de la industria de e-commerce.
Conocimientos del idioma portugués.

Postulate y te contamos un más sobre los proyectos que tienen.

Como habrás escuchado, este e-commerce de logo amarillo, tiene muchísimos beneficios de contratación, capacitaciones y plan de crecimiento.
La persona formara parte del sitio de e-commerce más grande de
Latinoamérica,
site de Córdoba.RH VISIÓN se encuentra en la busqueda de personas entusiastas en el desarrollo UX.Habilidades de
comunicación.E
xperiencia en análisis de métricas y datos de negocio, orientado a la mejora de
UX.Conocimient
os intermedios de HTML,
CSS.Conocimien
tos de UCD, IxD, UI, AI, Usability, Design Thinking, entre
otros.Experien
cia mínima de un año manejando equipos de Diseño Web o similares.",2022-12-07,https://ar.indeed.com/viewjob?jk=1a4f253888b4b7a0&tk=1gjmt7u8oitkl800&from=serp&vjs=3
1,analista de producto,"Randstad3,7
Córdoba, Córdoba",Tiempo completo,Cordoba,"Randstad3,7",Salario sin especificar,Presencial,"NeuralSoft se encuentra en la búsqueda de Analista de Testing para nuestra oficina en Rosario.
Experiencia requerida:
Diseño, estimación y ejecución de casos de prueba.
Seguir el progreso de los desarrollos testeando que se ajuste a lo requerido.
Controlar el cumplimiento de los estándares definidos para el sistema y sus funcionalidades.
Verificar que los requerimientos del cliente y/o usuarios se satisfacen con lo desarrollado.
Realizar la documentación de las pruebas (evidencias).
Registrar los incidentes y darle seguimiento a los mismos.
Definición y ejecución de queries.
Proponer mejoras para la usabilidad e interface de usuario.
Buscamos personas entusiastas y con ganas de aprender. Que tengan buena comunicación y predisposición para el trabajo en equipo. Preferentemente con perfil académico orientado al ámbito de sistemas. Se valorará conocimiento UX.",2022-12-07,https://ar.indeed.com/viewjob?jk=e8e1d765b632b086&tk=1gjmt7u8oitkl800&from=serp&vjs=3
2,Fullstack Developer (.NET),"CONEXIONHR
La Cañada, Córdoba",Tiempo completo,Cordoba,CONEXIONHR,Salario sin especificar,Presencial,"NeuralSoft se encuentra en la búsqueda de Analista de Testing para nuestra oficina en Rosario.
Experiencia requerida:
Diseño, estimación y ejecución de casos de prueba.
Seguir el progreso de los desarrollos testeando que se ajuste a lo requerido.
Controlar el cumplimiento de los estándares definidos para el sistema y sus funcionalidades.
Verificar que los requerimientos del cliente y/o usuarios se satisfacen con lo desarrollado.
Realizar la documentación de las pruebas (evidencias).
Registrar los incidentes y darle seguimiento a los mismos.
Definición y ejecución de queries.
Proponer mejoras para la usabilidad e interface de usuario.
Buscamos personas entusiastas y con ganas de aprender. Que tengan buena comunicación y predisposición para el trabajo en equipo. Preferentemente con perfil académico orientado al ámbito de sistemas. Se valorará conocimiento UX.",2022-12-07,https://ar.indeed.com/viewjob?jk=d2be92a608630a67&tk=1gjmt7u8oitkl800&from=serp&vjs=3
3,Desarrollador - UX,"Fabricarg
Córdoba, Córdoba",Tiempo completo,Cordoba,Fabricarg,Salario sin especificar,Presencial,"Experiencia y/o formación:
Carrera relacionada con el área de las Tecnologías
Mínimo 2 años de experiencia en el área de UX.
Competencias:
Preprocesadores: Sass o Less.
Task runners: Gulp, Grunt, Webpack (basados en NodeJS)
Armado HTML + Css3
JavaScript (+ Json)
CMS Wordpress
PHP, MySQL
Optimización/Performance
Deseable:
JavaScript ES6 / React, Angular / Headless Wordpress / NodeJS Progressive
Web a
Tipo de puesto: Tiempo completo",2022-12-07,https://ar.indeed.com/ver-empleo?cmp=Fabricarg&t=Desarrollador&jk=b6b83c5fc8903fb8&q=ux&vjs=3
4,UX Writing (Córdoba),"CL Select
Córdoba, Córdoba",Tiempo completo,Cordoba,CL Select,Salario sin especificar,Presencial,"En CL Select nos encontramos en la búsqueda de un Diseñador conversacional de Chatbot para incorporarse a la empresa Desol SA ubicada en Córdoba Capital. La función del puesto consistirá en garantizar la generación de procesos de chatbots intuitivos, fluído y simple considerando todos los aspectos de la experiencia desde la expectativa de los clientes, para que puedan resolver de manera personalizada las consultas. Entre sus tareas principales tendrá: Diseñar el flujo de las conversaciones de interacciones estructuradas y no estructuradas de los chatbots. Escribir los flujos y las conversaciones adaptándose a los tonos de voz, personalidad e imagen de nuestros clientes. Detectar oportunidades de mejora constantes: nuevo contenido a incluir, modificar, integraciones. Design research Seguir indicadores de mejora basados en los objetivos de los clientes Realizar monitoreos constantes para detectar errores de NLP, respuesta

Requisitos

Experiencia trabajando con dialog flow o alguna herramienta de diseño de chatbots. Experiencia de diseño en chatbots u otras tecnologías del procesamiento de lenguaje natural. Conocimientos sobre experiencia de clientes - canales - satisfacción de clientes. Conocimientos de programación (deseable). Sexo: Indistinto

Beneficios

Contratación de manera efectiva e inmediata. Excelente clima laboral. Amplias posibilidades de desarrollo. Prepaga Swiss medical Ingles una vez por semana Snack saludable",2022-12-07,https://ar.indeed.com/viewjob?jk=66e72db387148ab4&tk=1gjmt7u8oitkl800&from=serp&vjs=3
5,Coordinador de Mantenimiento - Leones (REQ146549),"ManpowerGroup3,8
Leones, Córdoba",Tiempo completo,Cordoba,"ManpowerGroup3,8",Salario sin especificar,Presencial,"COORDINADOR DE MANTENIMIENTO - LEONES (REQ146549)




¡Tenemos una oportunidad para vos!




Nos encontramos en la búsqueda de “Coordinador de Mantenimiento”.




Las principales responsabilidades del puesto serán:




Planificación del mantenimiento preventivo de toda la planta.



Asegurar la disponibilidad de repuestos e insumos para llevar adelante los mantenimientos correspondientes.



Seguimiento de los indicadores y análisis de los mismos, presentando informes y planes de acción.



Coordinación del equipo de mantenimiento mecánico del sector tejeduría, mantenimiento preventivo y correctivos.







Requisitos:




Nos orientamos a graduados de las carreras de Ingeniera (electromecánico, mecánico o electrónico).




Manejo de paquete Office: Intermedio.




Conocimientos en Sistemas de gestión.




Experiencia: al menos 1 año en un puesto similar del rubro industrial con gente a cargo.






Horario de trabajo: lunes a viernes de 08 a 12 horas y de 14 a 18 horas. Sábados de por medio 4 horas.




Lugar de trabajo: Leones, Córdoba.




Modalidad de contratación: Permanente.




En ManpowerGroup promovemos una cultura inclusiva y diversa basada en el respeto y en la igualdad de oportunidades.




https://mpar.csod.com/ux/ats/careersite/10/home/requisition/146549?c=mpar",2022-12-07,https://ar.indeed.com/viewjob?jk=9360e3a088ad6270&tk=1gjmt7u8oitkl800&from=serp&vjs=3
6,E Commerce con experiencia (Excluyente),"Idearhumano
Córdoba, Córdoba",Tiempo completo,Cordoba,Idearhumano,Salario sin especificar,Presencial,"Tareas y Responsabilidades - Publicar los productos de la empresa. - Mantener actualizadas las publicaciones en la WEB (fotos, precios y stock). - Responder consultas de clientes en diferentes canales. - Realizar la atención posventa, incluyendo (reclamos y devoluciones) - Coordinar con el área de logística la entrega y envío de la mercadería vendida. - Utilizar la Técnica de Benchmarking - Implementar estrategias, tácticas online definidas y lograr los objetivos de venta. - Armar el presupuesto de ventas online detallada y específica, para implementar con mayor facilidad, su planificación ejecución, supervisión y control. - Realizar Informes semanales / mensuales a Gerencia.

Requisitos

Requerimientos del Puesto: -Formación académica: Terciario (Marketing Digital - E- commerce) -Experiencia 1-3 años en venta on Line por comisión. -Conocimiento en Marketing Digital (google ads, Facebook, instagram) -Conocimiento en Estrategias de Marketing -Excel intermedio. -Diseñar herramientas de experiencia de usuario/cliente (UX/UI). -Manejar plataformas (Tienda Nube / Mercado Shops / Magento/Mercado Libre/Market place). -inglés intermedio Competencias -Iniciativa -Proactividad -Entusiasta -Dinamismo -Responsabilidad -Capacidad Resolutiva Dias y Horario de trabajo Presencial (Lunes a Viernes de 9 a 17 hs)

Beneficios

Participar de Proyecto E-Commerce Capacitacion constante.",2022-12-07,https://ar.indeed.com/viewjob?jk=88ea8c6c1be6856c&tk=1gjmt7u8oitkl800&from=serp&vjs=3
7,Product Owner Senior,"GRUPO TAGLE
Córdoba, Córdoba",Tiempo completo,Cordoba,GRUPO TAGLE,Salario sin especificar,Presencial,"Tareas y Responsabilidades - Publicar los productos de la empresa. - Mantener actualizadas las publicaciones en la WEB (fotos, precios y stock). - Responder consultas de clientes en diferentes canales. - Realizar la atención posventa, incluyendo (reclamos y devoluciones) - Coordinar con el área de logística la entrega y envío de la mercadería vendida. - Utilizar la Técnica de Benchmarking - Implementar estrategias, tácticas online definidas y lograr los objetivos de venta. - Armar el presupuesto de ventas online detallada y específica, para implementar con mayor facilidad, su planificación ejecución, supervisión y control. - Realizar Informes semanales / mensuales a Gerencia.

Requisitos

Requerimientos del Puesto: -Formación académica: Terciario (Marketing Digital - E- commerce) -Experiencia 1-3 años en venta on Line por comisión. -Conocimiento en Marketing Digital (google ads, Facebook, instagram) -Conocimiento en Estrategias de Marketing -Excel intermedio. -Diseñar herramientas de experiencia de usuario/cliente (UX/UI). -Manejar plataformas (Tienda Nube / Mercado Shops / Magento/Mercado Libre/Market place). -inglés intermedio Competencias -Iniciativa -Proactividad -Entusiasta -Dinamismo -Responsabilidad -Capacidad Resolutiva Dias y Horario de trabajo Presencial (Lunes a Viernes de 9 a 17 hs)

Beneficios

Participar de Proyecto E-Commerce Capacitacion constante.",2022-12-07,https://ar.indeed.com/viewjob?jk=559727b0f983d2fa&tk=1gjmt7u8oitkl800&from=serp&vjs=3
8,Desarrollador Fullstack Senior,"Fabricarg
Córdoba, Córdoba",Tiempo completo,Cordoba,Fabricarg,Salario sin especificar,Presencial,"Responsabilidades del cargo:
Cumplimiento de los objetivos definidos para el proyecto.
Ser un referente técnico del equipo de desarrollo.
Levantamiento de riesgos referentes a la codificación y desarrollo.
Mantenimiento del código fuente.
Velar por el cumplimiento del estándar de desarrollo de la compañía.
Experiencia y/o formación:
Ingeniero en Informática o carrera relacionada con el área de las Tecnologías
Experiencia en el desarrollo del software de al menos 5 años.
Competencias:
Desarrollo de Tecnologías Microsoft .NET / C# (framework desde 4.6)
(Excluyente)
HTML, CSS responsive, preprocesadores SASS y LESS, Bootstrap, JavaScript,
jQuery, NodeJS y sistemas de gestión de paquetes (Excluyente).
Angular 7+, typescript (Excluyente).
Desarrollo front-end bajo modelo vista controlador y Razor
Conocimiento de UI/UX
Desarrollo de modelos de datos, estructuras de datos, creación de SP y/o
Packages en bases de datos Oracle
Desarrollo de APIs
Consumo de API Rest o WebApi
Conocimiento en análisis, diseño, desarrollo de Software.
Metodologías ágiles de desarrollo y en desarrollo seguro.
Conocimiento en utilización de los siguientes softwares:
Visual Studio
Framework .Net
GIT/SVN
SQL Developer
SonarQube
Postman o herramienta similar
Deseable:
Capacidad de análisis de requerimientos.
Desarrollo de software seguro.
Experiencia en trabajo con Integración Continua / Despliegue Continuo.
Tolerancia para trabajar en equipos y proyecto dinámicos.
Habilidades de trabajo en equipo.
Haber trabajado en Front-End.
Haber trabajado en arquitectura en capas
Experiencia liderando equipos de desarrollo o siendo líder o referente
técnico.
Tipo de puesto: Tiempo completo",2022-12-07,https://ar.indeed.com/ver-empleo?cmp=Fabricarg&t=Desarrollador+fullstack+senior&jk=c8a3a80bb3bf0a68&q=ux&vjs=3
