,title,subtitle,sub_subtitle,location,company,salary,type,description,date_publish,url_postulacion
0,DESARROLLADOR JAVA,"Alia Integrando Talento
Remoto in Ciudad de México","$18,000 por mes
Por tiempo indeterminado
+1
Más detalles sobre el empleo
Trabajo desde casa","Azcapotzalco, CDMX",Alia Integrando Talento,"$18,000 por mes",Remoto,"Descripción
Importante empresa líder en soluciones de TI, validación de identidades, análisis biométrico, medios de pago electrónicos, busca incorporar a su equipo comercial

Desarrollador Java

Contrato de planta
Esquema nomina 100%
Prestaciones Superiores de ley
100% remoto
Plan de capacitación y crecimiento
Requisitos
Desarrollador Java

Recién egresado o 1 año de experiencia
Conocimiento de lenguaje Java
HTML
SQL
CSS, Java Script
JBoss
Eclipse
Spring
Angular

1 years",2022-12-07,https://mx.indeed.com/viewjob?jk=6084525180547ace&tk=1gjnp5gik2hio000&from=serp&vjs=3
1,Desarrollador Java (100% Remoto),"Kairos DS
Remoto in Miguel Hidalgo, CDMX","$28,500 a $32,000 por mes
Por tiempo indeterminado
+1
Turno de 8 horas
Más detalles sobre el empleo
Trabajo desde casa","Azcapotzalco, CDMX",Kairos DS,"$28,500 a $32,000 por mes",Remoto,"KAIRÓS DS es una empresa multinacional líder en Business Agil y soluciones digitales. Actualmente nos encontramos en búsqueda de los mejores talentos para que se unan a nuestra familia como Desarrollador Java.
REQUISITOS:
Ingeniería/licenciatura en ingeniería, sistemas o afín
Experiencia mínima de 2 años
Conocimientos sólidos en: Desarrollo en Java 2 años minimo, (Java 8 en adelante)
Spring framework (boot, core, MVC, JPA, Web, bootstrap, batch)
Diseño y consumo de servicios RESTFull
Git
Docker
Maven
Jenkins
Patrones de diseño
POSTMAN
Jira
Pruebas Unitarias JUnit, Mockito
¡¡TE OFRECEMOS!!S
Sueldo mensual
Régimen de contratación 100% NOMINA
Presupuesto de Formación y Formación corporativa
Vales de Despensa mensuales
30 días de aguinaldo
15 días de vacaciones
Seguro de Gastos Médicos Mayores
Seguro Dental
Clases de Inglés
Retribuciones Flexibles y Contractuales
Movilidad Geográfica
Apoyo económico para teletrabajo
Días Libre Disposición
Tipo de puesto: Tiempo completo
Salario: $28,500.00 - $32,000.00 al mes
Horario:
Turno de 8 horas
Prestaciones:
Aumentos salariales
Días de maternidad superiores a los de la ley
Días de paternidad superiores a los de la ley
Opción a contrato indefinido
Programa de referidos
Seguro de gastos médicos mayores
Seguro dental
Trabajar desde casa
Vacaciones adicionales o permisos con goce de sueldo
Vales de despensa
Consideraciones ante el COVID-19:
Se llevan las mediada sanitarias impuestas por el gobierno",2022-12-07,https://mx.indeed.com/ver-empleo?cmp=Kairos-DS&t=Desarrollador+java&jk=4e89fe4c9040091a&q=java&vjs=3
